signature_id	signature_label	dataset	condition_short	age_label	sex	collection	pathway	direction	a	b	c	d	odds_ratio	pval	padj	log2OR
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ADIPOGENESIS	Up	0	11	196	12313	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ALLOGRAFT_REJECTION	Up	0	11	185	12324	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ANDROGEN_RESPONSE	Up	1	10	96	12413	12.91886424	0.08202931	0.621718032	3.691407336
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ANGIOGENESIS	Up	0	11	35	12474	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_APICAL_JUNCTION	Up	0	11	176	12333	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_APICAL_SURFACE	Up	0	11	38	12471	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_APOPTOSIS	Up	0	11	155	12354	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_BILE_ACID_METABOLISM	Up	0	11	108	12401	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Up	0	11	75	12434	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_COAGULATION	Up	0	11	134	12375	0	1	1	#NAME?
