XL_Liver_male_Young_Heter	XL_Liver_male_Old_Heter	XL_Liver_female_Young_Heter	XL_Liver_female_Old_Heter	nmrHas2_Liver_male_Old_nmrHAS2	nmrHas2_Liver_female_Old_nmrHAS2	Acarbose_12m_female	Acarbose_12m_male	CR_12m_female	CR_12m_male	E17a_6m_female	E17a_6m_male	GHRKO_5m_male	MR_14m_male	Protandim_6m_female	Protandim_6m_male	Rapamycin_12m_female	Rapamycin_12m_male	Snell_5m_male
XL_Liver_male_Young_Heter	0	1.59205014056328e-118	1.98014503973757e-13	1.06716202319329e-56	2.23069530416431e-19	0.0304646158851914	4.90930357811262e-23	5.22423178367948e-55	0.00699763708849484	6.20357142240201e-57	5.11482481972742e-118	1.58293620839107e-95	2.8207337112704e-105	0.0796529385996583	6.86254172732831e-44	1.24205177153662e-07	6.67171708491161e-138	1.30037757137584e-35	2.72803727325449e-11
XL_Liver_male_Old_Heter	1.59205014056328e-118	0	5.39224067342016e-87	0	0	4.34656651843534e-271	1.77681790251796e-185	7.20522122931743e-159	6.28104414623482e-137	6.7308026620858e-192	5.56142362591311e-218	2.57375831093818e-191	4.21656371814789e-75	0.0336002682802664	4.10690866377185e-96	0.0103778302360799	8.93927319432523e-305	0.00266526917984193	1.59113061856222e-21
XL_Liver_female_Young_Heter	1.98014503973757e-13	5.39224067342016e-87	0	3.77446913460737e-155	1.85926980210033e-72	9.28075466396894e-43	5.41506933565024e-60	4.99505852979783e-182	2.58542776478455e-92	4.22075727146006e-63	2.67457298430455e-05	2.54888358521467e-05	9.31551102427286e-58	8.34647718062666e-06	1.20537698468775e-52	0.154553737807796	0.00683454674326546	3.95231502209447e-70	3.21764742117972e-68
XL_Liver_female_Old_Heter	1.06716202319329e-56	0	3.77446913460737e-155	0	0	0	1.12646967251804e-321	5.1560843762158e-148	1.23366872463202e-215	3.75859423572726e-205	2.66895728827465e-230	1.48505242832051e-130	4.74444231256063e-41	0.0093779237347777	2.71093258205224e-14	1.05023523396519e-29	3.66796801705457e-246	5.19950059608457e-46	3.1117067320486e-35
nmrHas2_Liver_male_Old_nmrHAS2	2.23069530416431e-19	0	1.85926980210033e-72	0	0	0	5.57280625110054e-294	1.02858651389663e-29	3.66198841471454e-148	5.52408118864597e-145	7.00435768016128e-162	5.40718569582759e-113	0.000345897648575366	0.0685053670565029	8.20143958650494e-17	1.0309163514666e-11	5.41196233495349e-146	9.5014103636363e-42	0.00525068771707647
nmrHas2_Liver_female_Old_nmrHAS2	0.0304646158851914	4.34656651843534e-271	9.28075466396894e-43	0	0	0	1.81816157669579e-321	0.040921323342177	5.25212555503358e-187	2.09116143172787e-141	6.23354946295053e-238	5.68956929772219e-115	7.62597215030341e-19	3.12896149626703e-15	0.000424456023671657	4.06597293195426e-22	1.63808852575139e-163	2.20979185821654e-62	1.06809535914803e-08
Acarbose_12m_female	4.90930357811262e-23	1.77681790251796e-185	5.41506933565024e-60	1.12646967251804e-321	5.57280625110054e-294	1.81816157669579e-321	0	2.26661699671868e-36	0	3.59542681147858e-260	1.47185565825245e-297	4.28000332083984e-132	0.369078444814277	5.16731537597733e-92	2.4446329356399e-08	4.37118933334748e-27	0	2.52005849480839e-39	0.000504513004967682
Acarbose_12m_male	5.22423178367948e-55	7.20522122931743e-159	4.99505852979783e-182	5.1560843762158e-148	1.02858651389663e-29	0.040921323342177	2.26661699671868e-36	0	8.00298083708195e-61	5.84234271044586e-107	0.187669170143823	0.0016906731430627	0	0.127134838731001	2.78743049163185e-165	3.53953502632168e-22	9.67499949209863e-37	3.36443586407152e-33	1.51316356341854e-165
CR_12m_female	0.00699763708849484	6.28104414623482e-137	2.58542776478455e-92	1.23366872463202e-215	3.66198841471454e-148	5.25212555503358e-187	0	8.00298083708195e-61	0	0	3.6040914356035e-114	1.79169072951149e-22	0.0175836227180911	8.69848351507019e-07	0.63999315898722	0.000504513004967682	8.84587471305022e-192	2.38349374996012e-65	5.57286757944223e-30
CR_12m_male	6.20357142240201e-57	6.7308026620858e-192	4.22075727146006e-63	3.75859423572726e-205	5.52408118864597e-145	2.09116143172787e-141	3.59542681147858e-260	5.84234271044586e-107	0	0	1.05773662737946e-123	5.67664881481998e-52	1.49963172308533e-23	3.23721620794233e-17	2.73095055782864e-09	2.46365324823711e-09	8.39678856509317e-191	1.79924385831594e-24	1.09020974476057e-33
E17a_6m_female	5.11482481972742e-118	5.56142362591311e-218	2.67457298430455e-05	2.66895728827465e-230	7.00435768016128e-162	6.23354946295053e-238	1.47185565825245e-297	0.187669170143823	3.6040914356035e-114	1.05773662737946e-123	0	1.84289302541075e-260	0.0357940383351477	1.32441137269764e-17	1.3415360701912e-59	2.19267068820413e-10	0	0.0156380418090679	0.0018428474052014
E17a_6m_male	1.58293620839107e-95	2.57375831093818e-191	2.54888358521467e-05	1.48505242832051e-130	5.40718569582759e-113	5.68956929772219e-115	4.28000332083984e-132	0.0016906731430627	1.79169072951149e-22	5.67664881481998e-52	1.84289302541075e-260	0	0.0466483183148687	1.4833141617324e-25	0.887162346576639	1.49770358173545e-67	2.38520380209072e-281	9.55578349457585e-16	1.20893212867509e-08
GHRKO_5m_male	2.8207337112704e-105	4.21656371814789e-75	9.31551102427286e-58	4.74444231256063e-41	0.000345897648575366	7.62597215030341e-19	0.369078444814277	0	0.0175836227180911	1.49963172308533e-23	0.0357940383351477	0.0466483183148687	0	0.00131500656776533	2.12940908573001e-211	1.03617756538676e-16	5.00244482376644e-08	4.26675081865086e-08	0
MR_14m_male	0.0796529385996583	0.0336002682802664	8.34647718062666e-06	0.0093779237347777	0.0685053670565029	3.12896149626703e-15	5.16731537597733e-92	0.127134838731001	8.69848351507019e-07	3.23721620794233e-17	1.32441137269764e-17	1.4833141617324e-25	0.00131500656776533	0	1.44868052466558e-23	1.20023052130427e-64	4.40632978111232e-11	0.180414019926301	0.0181792368286545
Protandim_6m_female	6.86254172732831e-44	4.10690866377185e-96	1.20537698468775e-52	2.71093258205224e-14	8.20143958650494e-17	0.000424456023671657	2.4446329356399e-08	2.78743049163185e-165	0.63999315898722	2.73095055782864e-09	1.3415360701912e-59	0.887162346576639	2.12940908573001e-211	1.44868052466558e-23	0	2.38585539081444e-89	8.09120119895506e-06	0.021626142863203	1.3453657559963e-35
Protandim_6m_male	1.24205177153662e-07	0.0103778302360799	0.154553737807796	1.05023523396519e-29	1.0309163514666e-11	4.06597293195426e-22	4.37118933334748e-27	3.53953502632168e-22	0.000504513004967682	2.46365324823711e-09	2.19267068820413e-10	1.49770358173545e-67	1.03617756538676e-16	1.20023052130427e-64	2.38585539081444e-89	0	1.90776589228122e-05	2.61959573076312e-24	2.25745334518983e-08
