Acarbose_12m_female	Acarbose_12m_male	CR_12m_female	CR_12m_male	E17a_6m_female	E17a_6m_male	GHRKO_5m_male	MR_14m_male	Protandim_6m_female	Protandim_6m_male	Rapamycin_12m_female	Rapamycin_12m_male	Snell_5m_male	XL_female_Old_Heter	XL_male_Old_Heter	XL_female_Young_Heter	XL_male_Young_Heter	nmrHas2_female_Old	nmrHas2_male_Old
Acarbose_12m_female	0	1.89198398254879e-17	0	0	0.0301699142816725	3.29106883211582e-06	3.16967880698533e-05	6.16533981549396e-12	0.183551413374154	9.23542062663719e-06	0	0.0312546881501589	1.61591435274481e-09	3.78054721064302e-14	6.09181798805166e-05	1.6632868166276e-08	0.387543856570453	1.77949130313462e-06	0
Acarbose_12m_male	1.89198398254879e-17	0	1.22761233647554e-13	0	0.000385497419323733	8.15386539355885e-05	0	0	0.00010101770273129	4.85372591493477e-09	0.000563932384565173	0	0	2.35811593581341e-16	1.60972621410066e-09	5.40852087639902e-19	0.167010012723202	0.00625262433478573	0.00584889322664851
CR_12m_female	0	1.22761233647554e-13	0	0	4.14755757826895e-06	0.007460503224186	1.21905189063402e-16	0.000153717348022396	0.00509699014129079	0.419038301177201	0	9.59850354862516e-05	8.26003379760197e-20	0.0452601206369136	0.0157573702635192	0.311426939441222	2.40086146413306e-06	0.0368396654478141	0.052596583175504
CR_12m_male	0	0	0	0	2.70969700526027e-06	0.0457330075272948	0	1.29645023496903e-10	0.494007068712978	2.22956990947509e-07	1.63545484690237e-17	0.00841470306480066	0	0.854305731165241	0.167553341477533	0.212384419906374	1.05015382864572e-15	0.594570636747159	0.792721118154251
E17a_6m_female	0.0301699142816725	0.000385497419323733	4.14755757826895e-06	2.70969700526027e-06	0	1.0379776134528e-11	0.664457904149715	0.0668467671905996	0	6.66273327429033e-08	0	0.0479819408855678	0.390972600129397	0.000959098010680469	0.176947628331359	0	0	1.45035520419099e-11	1.12634559905668e-05
E17a_6m_male	3.29106883211582e-06	8.15386539355885e-05	0.007460503224186	0.0457330075272948	1.0379776134528e-11	0	2.43751587132617e-06	0.969103025960364	9.17090399344495e-06	0	6.04657283893382e-17	0.0731437671743284	7.73183859499957e-11	0.337097381336931	3.78795107564534e-11	0.161917180895674	1.09753364210572e-05	9.07321148168863e-13	0
GHRKO_5m_male	3.16967880698533e-05	0	1.21905189063402e-16	0	0.664457904149715	2.43751587132617e-06	0	3.19503642306345e-17	1.09593085607343e-09	3.11411417404466e-05	1.15846925813258e-11	0.835726539491928	0	0.000131773709029944	0.0022726697713516	3.4141569374311e-11	4.90306953788753e-07	1.23663777243621e-19	1.32549235503933e-07
MR_14m_male	6.16533981549396e-12	0	0.000153717348022396	1.29645023496903e-10	0.0668467671905996	0.969103025960364	3.19503642306345e-17	0	0.816269477178414	7.55387561975663e-13	0.0672871445171284	0.000146718938393834	0	2.11033995250116e-05	0.647613823281924	0.402785281258651	5.95780705468388e-06	0.249912536961703	0.199528057116225
Protandim_6m_female	0.183551413374154	0.00010101770273129	0.00509699014129079	0.494007068712978	0	9.17090399344495e-06	1.09593085607343e-09	0.816269477178414	0	3.59947300006716e-09	0.126166519479834	6.04391975413945e-09	0.108469510325781	0.00823518003497833	0	6.35869298012903e-14	0.00400639189901162	1.00271177121437e-05	0.411911932759007
Protandim_6m_male	9.23542062663719e-06	4.85372591493477e-09	0.419038301177201	2.22956990947509e-07	6.66273327429033e-08	0	3.11411417404466e-05	7.55387561975663e-13	3.59947300006716e-09	0	2.10912551424532e-11	8.01576156410108e-13	2.49723022155361e-15	0.000867155744524111	7.47889630608952e-06	6.75494643570178e-07	0.000142809834330214	0.986907354272348	0.119550751965073
Rapamycin_12m_female	0	0.000563932384565173	0	1.63545484690237e-17	0	6.04657283893382e-17	1.15846925813258e-11	0.0672871445171284	0.126166519479834	2.10912551424532e-11	0	0.0051767898873884	2.71672833396035e-15	0.00113497407984049	0.00365213108098064	4.30496269784877e-13	0.0533811310161633	6.38961137610051e-13	1.88567420530844e-11
Rapamycin_12m_male	0.0312546881501589	0	9.59850354862516e-05	0.00841470306480066	0.0479819408855678	0.0731437671743284	0.835726539491928	0.000146718938393834	6.04391975413945e-09	8.01576156410108e-13	0.0051767898873884	0	0.0612206764480663	0.0272239789934864	0.121212232910933	0.133942544904107	0.0694078325364384	2.65978341631454e-05	0.614961602128576
Snell_5m_male	1.61591435274481e-09	0	8.26003379760197e-20	0	0.390972600129397	7.73183859499957e-11	0	0	0.108469510325781	2.49723022155361e-15	2.71672833396035e-15	0.0612206764480663	0	0.944914693685638	0.00534495937185096	5.91067932618783e-08	0.0225922412869517	0	3.83963270501611e-13
XL_female_Old_Heter	3.78054721064302e-14	2.35811593581341e-16	0.0452601206369136	0.854305731165241	0.000959098010680469	0.337097381336931	0.000131773709029944	2.11033995250116e-05	0.00823518003497833	0.000867155744524111	0.00113497407984049	0.0272239789934864	0.944914693685638	0	0	1.79401551471957e-18	2.68156239407443e-19	0	0
XL_male_Old_Heter	6.09181798805166e-05	1.60972621410066e-09	0.0157573702635192	0.167553341477533	0.176947628331359	3.78795107564534e-11	0.0022726697713516	0.647613823281924	0	7.47889630608952e-06	0.00365213108098064	0.121212232910933	0.00534495937185096	0	0	0.794538189086632	4.53343451309493e-05	0	0
XL_female_Young_Heter	1.6632868166276e-08	5.40852087639902e-19	0.311426939441222	0.212384419906374	0	0.161917180895674	3.4141569374311e-11	0.402785281258651	6.35869298012903e-14	6.75494643570178e-07	4.30496269784877e-13	0.133942544904107	5.91067932618783e-08	1.79401551471957e-18	0.794538189086632	0	0	0.966757270261298	0.338068842271146
XL_male_Young_Heter	0.387543856570453	0.167010012723202	2.40086146413306e-06	1.05015382864572e-15	0	1.09753364210572e-05	4.90306953788753e-07	5.95780705468388e-06	0.00400639189901162	0.000142809834330214	0.0533811310161633	0.0694078325364384	0.0225922412869517	2.68156239407443e-19	4.53343451309493e-05	0	0	0.111803079403143	0.126865979218982
nmrHas2_female_Old	1.77949130313462e-06	0.00625262433478573	0.0368396654478141	0.594570636747159	1.45035520419099e-11	9.07321148168863e-13	1.23663777243621e-19	0.249912536961703	1.00271177121437e-05	0.986907354272348	6.38961137610051e-13	2.65978341631454e-05	0	0	0	0.966757270261298	0.111803079403143	0	0
nmrHas2_male_Old	0	0.00584889322664851	0.052596583175504	0.792721118154251	1.12634559905668e-05	0	1.32549235503933e-07	0.199528057116225	0.411911932759007	0.119550751965073	1.88567420530844e-11	0.614961602128576	3.83963270501611e-13	0	0	0.338068842271146	0.126865979218982	0	0
